日期,成交股數,成交金額,開盤價,最高價,最低價,收盤價,漲跌價差,成交筆數
110/06/01,7274980.0,375093096,51.9,51.9,51.3,51.6,-0.3,2979.0
110/06/02,15195799.0,783943081,51.6,52.2,51.2,51.9,0.3,5429.0
110/06/03,13118648.0,679517381,52.4,52.5,51.4,51.8,-0.1,5825.0
110/06/04,10402849.0,535663281,51.9,52.1,51.1,51.4,-0.4,4412.0
110/06/07,12165797.0,621200333,51.6,51.7,50.6,51.1,-0.3,4232.0
110/06/08,12774149.0,650337868,51.3,51.4,50.7,50.9,-0.2,2958.0
110/06/09,8786789.0,444914591,50.9,51.0,50.5,50.6,-0.3,3704.0
110/06/10,7514569.0,379494128,50.7,50.9,50.3,50.6,0.0,3609.0
110/06/11,7726749.0,390882667,50.7,50.9,50.4,50.7,0.1,3468.0
110/06/15,5897556.0,298789422,50.9,51.0,50.5,50.7,0.0,3911.0
110/06/16,7373936.0,374090324,50.7,51.2,50.5,51.1,0.4,3578.0
110/06/17,7209062.0,367116671,50.8,51.2,50.7,51.1,0.0,2486.0
110/06/18,21127559.0,1066291821,50.8,51.1,50.2,50.4,-0.7,7133.0
110/06/21,10213166.0,510833354,50.3,50.3,49.9,50.0,-0.4,5466.0
110/06/22,22314411.0,1136236137,50.0,51.6,50.0,50.8,0.8,8058.0
110/06/23,16436592.0,831330618,51.1,51.3,50.2,50.5,-0.3,6068.0
110/06/24,11601949.0,585580157,50.4,50.9,50.2,50.3,-0.2,4219.0
110/06/25,10382288.0,525709041,50.4,51.2,50.2,50.6,0.3,4216.0
110/06/28,10343646.0,525863921,50.7,51.1,50.4,50.9,0.3,4276.0
110/06/29,6736547.0,341594633,50.9,51.0,50.6,50.7,-0.2,3477.0
110/06/30,9249903.0,470360872,50.9,51.1,50.7,50.7,0.0,3447.0
