日期,成交股數,成交金額,開盤價,最高價,最低價,收盤價,漲跌價差,成交筆數
111/01/03,483027.0,10424343,21.7,21.7,21.5,21.6,0.0,423.0
111/01/04,401724.0,8645476,21.65,21.65,21.5,21.6,0.0,255.0
111/01/05,291809.0,6276962,21.55,21.55,21.5,21.55,-0.05,223.0
111/01/06,218897.0,4711089,21.6,21.65,21.5,21.5,-0.05,152.0
111/01/07,264423.0,5693408,21.65,21.7,21.45,21.6,0.1,228.0
111/01/10,194059.0,4182170,21.65,21.65,21.45,21.6,0.0,151.0
111/01/11,327890.0,7058269,21.5,21.6,21.45,21.6,0.0,201.0
111/01/12,631830.0,13616083,21.65,21.7,21.5,21.65,0.05,233.0
111/01/13,270807.0,5839233,21.6,21.6,21.5,21.6,-0.05,177.0
111/01/14,316456.0,6810144,21.65,21.65,21.45,21.55,-0.05,151.0
111/01/17,238071.0,5122426,21.5,21.6,21.5,21.6,0.05,132.0
111/01/18,571135.0,12419043,21.65,21.85,21.65,21.75,0.15,347.0
111/01/19,447340.0,9723270,21.8,21.8,21.7,21.8,0.05,236.0
111/01/20,313985.0,6840617,21.8,21.85,21.7,21.85,0.05,214.0
111/01/21,365600.0,7927863,21.85,21.85,21.6,21.65,-0.2,209.0
111/01/24,341953.0,7314510,21.7,21.7,21.25,21.45,-0.2,299.0
111/01/25,459698.0,9774178,21.6,21.6,21.15,21.25,-0.2,269.0
111/01/26,228964.0,4870964,21.35,21.4,21.2,21.3,0.05,183.0
