日期,成交股數,成交金額,開盤價,最高價,最低價,收盤價,漲跌價差,成交筆數
107/11/01,44514797.0,10480329245,236.0,237.0,233.0,235.5,1.5,11435.0
107/11/02,30785361.0,7249667833,236.5,236.5,233.5,236.5,1.0,11223.0
107/11/05,28157065.0,6592130635,233.0,235.5,232.0,235.0,-1.5,6994.0
107/11/06,35501176.0,8311988968,234.0,235.5,232.5,234.5,-0.5,7013.0
107/11/07,39842652.0,9337023278,233.0,236.0,232.5,234.0,-0.5,7387.0
107/11/08,28086146.0,6645771069,237.5,237.5,236.0,236.5,2.5,9461.0
107/11/09,23792081.0,5526997792,234.5,234.5,231.0,231.0,-5.5,7886.0
107/11/12,26202445.0,6101377163,230.0,234.5,230.0,231.5,0.5,6252.0
107/11/13,37565127.0,8504691960,224.5,228.0,224.5,227.5,-4.0,11507.0
107/11/14,24565279.0,5639284241,230.0,231.0,228.5,228.5,1.0,6007.0
107/11/15,22230228.0,5124189444,229.5,232.0,228.5,231.0,2.5,5996.0
107/11/16,47138909.0,10696822542,229.0,229.0,225.0,226.0,-5.0,16009.0
107/11/19,51034754.0,11355347628,225.0,225.0,221.0,222.0,-4.0,16289.0
107/11/20,45686756.0,9995960780,219.0,220.5,218.0,218.0,-4.0,16874.0
107/11/21,38478343.0,8361178460,214.5,220.0,214.0,219.0,1.0,13580.0
107/11/22,22060610.0,4867686945,221.5,222.0,219.0,219.0,0.0,9095.0
107/11/23,15553334.0,3406422046,220.5,220.5,217.0,218.5,-0.5,6164.0
107/11/26,35267804.0,7847501792,219.0,224.0,218.5,223.0,4.5,9422.0
107/11/27,32676349.0,7239283641,220.0,224.5,219.0,224.0,1.0,10170.0
107/11/28,24759026.0,5560623349,222.5,227.0,222.0,226.5,2.5,8316.0
107/11/29,46206207.0,10629450003,231.5,231.5,229.0,229.0,2.5,15849.0
107/11/30,57352957.0,12995823319,229.5,231.0,225.5,225.5,-3.5,10931.0
