日期,成交股數,成交金額,開盤價,最高價,最低價,收盤價,漲跌價差,成交筆數
113/04/01,22348250.0,17301753062,783.0,783.0,769.0,770.0,-9.0,28192.0
113/04/02,42219075.0,33230356267,784.0,790.0,783.0,790.0,20.0,41138.0
113/04/03,32909892.0,25719094412,783.0,785.0,778.0,780.0,-10.0,36003.0
113/04/08,40567580.0,31925988285,789.0,792.0,783.0,783.0,3.0,29304.0
113/04/09,61642573.0,49946542596,795.0,820.0,792.0,819.0,36.0,89138.0
113/04/10,31109466.0,25358780514,815.0,819.0,810.0,815.0,-4.0,39131.0
113/04/11,27772972.0,22655121636,811.0,820.0,811.0,820.0,5.0,34739.0
113/04/12,32473155.0,26663806808,823.0,826.0,817.0,818.0,-2.0,38091.0
113/04/15,41251141.0,33300372097,804.0,812.0,803.0,806.0,-12.0,60451.0
113/04/16,54120813.0,42833069476,802.0,803.0,785.0,788.0,-18.0,127956.0
113/04/17,36616351.0,29324186091,798.0,808.0,793.0,804.0,16.0,43890.0
113/04/18,45765617.0,36684269610,796.0,810.0,792.0,804.0,0.0,46571.0
113/04/19,143868560.0,109032970933,769.0,770.0,746.0,750.0,-54.0,356590.0
113/04/22,52354944.0,39093628250,740.0,757.0,740.0,742.0,-8.0,103120.0
113/04/23,32067682.0,24247217869,761.0,761.0,752.0,754.0,12.0,34807.0
113/04/24,41652749.0,32458429294,770.0,785.0,769.0,783.0,29.0,58442.0
113/04/25,30492037.0,23412746667,770.0,774.0,765.0,766.0,-17.0,64220.0
113/04/26,34721905.0,27272338208,788.0,789.0,782.0,782.0,16.0,42824.0
113/04/29,30704200.0,24322394064,790.0,795.0,787.0,795.0,13.0,35585.0
113/04/30,41627249.0,33118845170,797.0,802.0,790.0,790.0,-5.0,40926.0
